firm,year,invest,value,kstock,time
1,1935,317.600006103516,3078.5,2.79999995231628,1
1,1936,391.799987792969,4661.7001953125,52.5999984741211,2
1,1937,410.600006103516,5387.10009765625,156.899993896484,3
1,1938,257.700012207031,2792.19995117188,209.199996948242,4
1,1939,330.799987792969,4313.2001953125,203.399993896484,5
1,1940,461.200012207031,4643.89990234375,207.199996948242,6
1,1941,512,4551.2001953125,255.199996948242,7
1,1942,448,3244.10009765625,303.700012207031,8
1,1943,499.600006103516,4053.69995117188,264.100006103516,9
1,1944,547.5,4379.2998046875,201.600006103516,10
1,1945,561.200012207031,4840.89990234375,265,11
1,1946,688.099975585938,4900.89990234375,402.200012207031,12
1,1947,568.900024414062,3526.5,761.5,13
1,1948,529.200012207031,3254.69995117188,922.400024414062,14
1,1949,555.099975585938,3700.19995117188,1020.09997558594,15
1,1950,642.900024414062,3755.60009765625,1099,16
1,1951,755.900024414062,4833,1207.69995117188,17
1,1952,891.200012207031,4924.89990234375,1430.5,18
1,1953,1304.40002441406,6241.7001953125,1777.30004882812,19
1,1954,1486.69995117188,5593.60009765625,2226.30004882812,20
2,1935,209.899993896484,1362.40002441406,53.7999992370605,1
2,1936,355.299987792969,1807.09997558594,50.5,2
2,1937,469.899993896484,2676.30004882812,118.099998474121,3
2,1938,262.299987792969,1801.90002441406,260.200012207031,4
2,1939,230.399993896484,1957.30004882812,312.700012207031,5
2,1940,361.600006103516,2202.89990234375,254.199996948242,6
2,1941,472.799987792969,2380.5,261.399993896484,7
2,1942,445.600006103516,2168.60009765625,298.700012207031,8
2,1943,361.600006103516,1985.09997558594,301.799987792969,9
2,1944,288.200012207031,1813.90002441406,279.100006103516,10
2,1945,258.700012207031,1850.19995117188,213.800003051758,11
2,1946,420.299987792969,2067.69995117188,132.600006103516,12
2,1947,420.5,1796.69995117188,264.799987792969,13
2,1948,494.5,1625.80004882812,306.899993896484,14
2,1949,405.100006103516,1667,351.100006103516,15
2,1950,418.799987792969,1677.40002441406,357.799987792969,16
2,1951,588.200012207031,2289.5,342.100006103516,17
2,1952,645.5,2159.39990234375,444.200012207031,18
2,1953,641,2031.30004882812,623.599975585938,19
2,1954,459.299987792969,2115.5,669.700012207031,20
3,1935,33.0999984741211,1170.59997558594,97.8000030517578,1
3,1936,45,2015.80004882812,104.400001525879,2
3,1937,77.1999969482422,2803.30004882812,118,3
3,1938,44.5999984741211,2039.69995117188,156.199996948242,4
3,1939,48.0999984741211,2256.19995117188,172.600006103516,5
3,1940,74.4000015258789,2132.19995117188,186.600006103516,6
3,1941,113,1834.09997558594,220.899993896484,7
3,1942,91.9000015258789,1588,287.799987792969,8
3,1943,61.2999992370605,1749.40002441406,319.899993896484,9
3,1944,56.7999992370605,1687.19995117188,321.299987792969,10
3,1945,93.5999984741211,2007.69995117188,319.600006103516,11
3,1946,159.899993896484,2208.30004882812,346,12
3,1947,147.199996948242,1656.69995117188,456.399993896484,13
3,1948,146.300003051758,1604.40002441406,543.400024414062,14
3,1949,98.3000030517578,1431.80004882812,618.299987792969,15
3,1950,93.5,1610.5,647.400024414062,16
3,1951,135.199996948242,1819.40002441406,671.299987792969,17
3,1952,157.300003051758,2079.69995117188,726.099975585938,18
3,1953,179.5,2371.60009765625,800.299987792969,19
3,1954,189.600006103516,2759.89990234375,888.900024414062,20
4,1935,40.2900009155273,417.5,10.5,1
4,1936,72.7600021362305,837.799987792969,10.1999998092651,2
4,1937,66.2600021362305,883.900024414062,34.7000007629395,3
4,1938,51.5999984741211,437.899993896484,51.7999992370605,4
4,1939,52.4099998474121,679.700012207031,64.3000030517578,5
4,1940,69.4100036621094,727.799987792969,67.0999984741211,6
4,1941,68.3499984741211,643.599975585938,75.1999969482422,7
4,1942,46.7999992370605,410.899993896484,71.4000015258789,8
4,1943,47.4000015258789,588.400024414062,67.0999984741211,9
4,1944,59.5699996948242,698.400024414062,60.5,10
4,1945,88.7799987792969,846.400024414062,54.5999984741211,11
4,1946,74.120002746582,893.799987792969,84.8000030517578,12
4,1947,62.6800003051758,579,96.8000030517578,13
4,1948,89.3600006103516,694.599975585938,110.199996948242,14
4,1949,78.9800033569336,590.299987792969,147.399993896484,15
4,1950,100.660003662109,693.5,163.199996948242,16
4,1951,160.619995117188,809,203.5,17
4,1952,145,727,290.600006103516,18
4,1953,174.929992675781,1001.5,346.100006103516,19
4,1954,172.490005493164,703.200012207031,414.899993896484,20
5,1935,39.6800003051758,157.699996948242,183.199996948242,1
5,1936,50.7299995422363,167.899993896484,204,2
5,1937,74.2399978637695,192.899993896484,236,3
5,1938,53.5099983215332,156.699996948242,291.700012207031,4
5,1939,42.6500015258789,191.399993896484,323.100006103516,5
5,1940,46.4799995422363,185.5,344,6
5,1941,61.4000015258789,199.600006103516,367.700012207031,7
5,1942,39.6699981689453,189.5,407.200012207031,8
5,1943,62.2400016784668,151.199996948242,426.600006103516,9
5,1944,52.3199996948242,187.699996948242,470,10
5,1945,63.2099990844727,214.699996948242,499.200012207031,11
5,1946,59.3699989318848,232.899993896484,534.599975585938,12
5,1947,58.0200004577637,249,566.599975585938,13
5,1948,70.3399963378906,224.5,595.299987792969,14
5,1949,67.4199981689453,237.300003051758,631.400024414062,15
5,1950,55.7400016784668,240.100006103516,662.299987792969,16
5,1951,80.3000030517578,327.299987792969,683.900024414062,17
5,1952,85.4000015258789,359.399993896484,729.299987792969,18
5,1953,91.9000015258789,398.399993896484,774.299987792969,19
5,1954,81.4300003051758,365.700012207031,804.900024414062,20
6,1935,20.3600006103516,197,6.5,1
6,1936,25.9799995422363,210.300003051758,15.8000001907349,2
6,1937,25.9400005340576,223.100006103516,27.7000007629395,3
6,1938,27.5300006866455,216.699996948242,39.2000007629395,4
6,1939,24.6000003814697,286.399993896484,48.5999984741211,5
6,1940,28.5400009155273,298,52.5,6
6,1941,43.4099998474121,276.899993896484,61.5,7
6,1942,42.810001373291,272.600006103516,80.5,8
6,1943,27.8400001525879,287.399993896484,94.4000015258789,9
6,1944,32.5999984741211,330.299987792969,92.5999984741211,10
6,1945,39.0299987792969,324.399993896484,92.3000030517578,11
6,1946,50.1699981689453,401.899993896484,94.1999969482422,12
6,1947,51.8499984741211,407.399993896484,111.400001525879,13
6,1948,64.0299987792969,409.200012207031,127.400001525879,14
6,1949,68.1600036621094,482.200012207031,149.300003051758,15
6,1950,77.3399963378906,673.799987792969,164.399993896484,16
6,1951,95.3000030517578,676.900024414062,177.199996948242,17
6,1952,99.4899978637695,702,200,18
6,1953,127.519996643066,793.5,211.5,19
6,1954,135.720001220703,927.299987792969,238.699996948242,20
7,1935,24.4300003051758,138,100.199996948242,1
7,1936,23.2099990844727,200.100006103516,125,2
7,1937,32.7799987792969,210.100006103516,142.399993896484,3
7,1938,32.5400009155273,161.199996948242,165.100006103516,4
7,1939,26.6499996185303,161.699996948242,194.800003051758,5
7,1940,33.7099990844727,145.100006103516,222.899993896484,6
7,1941,43.5,110.599998474121,252.100006103516,7
7,1942,34.4599990844727,98.0999984741211,276.299987792969,8
7,1943,44.2799987792969,108.800003051758,300.299987792969,9
7,1944,70.8000030517578,118.199996948242,318.200012207031,10
7,1945,44.1199989318848,126.5,336.200012207031,11
7,1946,48.9799995422363,156.699996948242,351.200012207031,12
7,1947,48.5099983215332,119.400001525879,373.600006103516,13
7,1948,50,129.100006103516,389.399993896484,14
7,1949,50.5900001525879,134.800003051758,406.700012207031,15
7,1950,42.5299987792969,140.800003051758,429.5,16
7,1951,64.7699966430664,179,450.600006103516,17
7,1952,72.6800003051758,178.100006103516,466.899993896484,18
7,1953,73.8600006103516,186.800003051758,486.200012207031,19
7,1954,89.5100021362305,192.699996948242,511.299987792969,20
8,1935,12.9300003051758,191.5,1.79999995231628,1
8,1936,25.8999996185303,516,0.800000011920929,2
8,1937,35.0499992370605,729,7.40000009536743,3
8,1938,22.8899993896484,560.400024414062,18.1000003814697,4
8,1939,18.8400001525879,519.900024414062,23.5,5
8,1940,28.5699996948242,628.5,26.5,6
8,1941,48.5099983215332,537.099975585938,36.2000007629395,7
8,1942,43.3400001525879,561.200012207031,60.7999992370605,8
8,1943,37.0200004577637,617.200012207031,84.4000015258789,9
8,1944,37.810001373291,626.700012207031,91.1999969482422,10
8,1945,39.2700004577637,737.200012207031,92.4000015258789,11
8,1946,53.4599990844727,760.5,86,12
8,1947,55.560001373291,581.400024414062,111.099998474121,13
8,1948,49.560001373291,662.299987792969,130.600006103516,14
8,1949,32.0400009155273,583.799987792969,141.800003051758,15
8,1950,32.2400016784668,635.200012207031,136.699996948242,16
8,1951,54.3800010681152,723.799987792969,129.699996948242,17
8,1952,71.7799987792969,864.099975585938,145.5,18
8,1953,90.0800018310547,1193.5,174.800003051758,19
8,1954,68.5999984741211,1188.90002441406,213.5,20
9,1935,26.6299991607666,290.600006103516,162,1
9,1936,23.3899993896484,291.100006103516,174,2
9,1937,30.6499996185303,335,183,3
9,1938,20.8899993896484,246,198,4
9,1939,28.7800006866455,356.200012207031,208,5
9,1940,26.9300003051758,289.799987792969,223,6
9,1941,32.0800018310547,268.200012207031,234,7
9,1942,32.2099990844727,213.300003051758,248,8
9,1943,35.689998626709,348.200012207031,274,9
9,1944,62.4700012207031,374.200012207031,282,10
9,1945,52.3199996948242,387.200012207031,316,11
9,1946,56.9500007629395,347.399993896484,302,12
9,1947,54.3199996948242,291.899993896484,333,13
9,1948,40.5299987792969,297.200012207031,359,14
9,1949,32.5400009155273,276.899993896484,370,15
9,1950,43.4799995422363,274.600006103516,376,16
9,1951,56.4900016784668,339.899993896484,391,17
9,1952,65.9800033569336,474.799987792969,414,18
9,1953,66.1100006103516,496,443,19
9,1954,49.3400001525879,474.5,468,20
10,1935,2.53999996185303,70.9100036621094,4.5,1
10,1936,2,87.9400024414062,4.71000003814697,2
10,1937,2.19000005722046,82.1999969482422,4.57000017166138,3
10,1938,1.99000000953674,58.7200012207031,4.55999994277954,4
10,1939,2.02999997138977,80.5400009155273,4.38000011444092,5
10,1940,1.80999994277954,86.4700012207031,4.21000003814697,6
10,1941,2.14000010490417,77.6800003051758,4.11999988555908,7
10,1942,1.86000001430511,62.1599998474121,3.82999992370605,8
10,1943,0.930000007152557,62.2400016784668,3.57999992370605,9
10,1944,1.17999994754791,61.8199996948242,3.41000008583069,10
10,1945,1.36000001430511,65.8499984741211,3.30999994277954,11
10,1946,2.24000000953674,69.5400009155273,3.23000001907349,12
10,1947,3.80999994277954,64.9700012207031,3.90000009536743,13
10,1948,5.65999984741211,68,5.38000011444092,14
10,1949,4.21000003814697,71.2399978637695,7.3899998664856,15
10,1950,3.42000007629395,69.0500030517578,8.73999977111816,16
10,1951,4.67000007629395,83.0400009155273,9.06999969482422,17
10,1952,6,74.4199981689453,9.93000030517578,18
10,1953,6.53000020980835,63.5099983215332,11.6800003051758,19
10,1954,5.11999988555908,58.1199989318848,14.3299999237061,20
